,,,,,,,
,Handling,,,,,,
,,,,,,,
,,,,,,,
,"The Handling statistic determines the turning capability of the vehicle when steering and drifting, increasing the maximum tightness and wideness of the drift. The higher the Handling, the greater the maximum angular velocity when drifting. This statistic also affects the tire grip, increasing the overall responsiveness of the vehicle when turning.

This statistic is divided in three types: On-Road , Off-Road and Water. The in-game bar displays the average of the three types, so it gives a misleading indication for most characters and vehicles.
The turning capability on Heavy Off-Road and when Gliding is the same across all combos. The grip is visibly reduced on Watercraft mode.",,,,,,
,,,,,,,
,"⚠️ Testing and documenting properly the grip of the vehicle is very hard, so this aspect of the Handling statistic will most likely remain undocumented until the game is datamined.",,,,,,
,,,,,,,
,,,,,,,
,Handling,,,,,,
,Lv.,On-Road,,Off-Road,,Water (debuff),
,,A. vel. (rad/s),Period (s),A. vel. (rad/s),Period (s),A. vel. (rad/s),Period (s)
,0,"1,226","5,125","1,272","4,940","1,385","4,537"
,1,"1,249","5,033","1,295","4,854","1,409","4,461"
,2,"1,271","4,943","1,317","4,771","1,432","4,388"
,3,"1,294","4,858","1,340","4,691","1,456","4,317"
,4,"1,316","4,774","1,362","4,613","1,479","4,248"
,5,"1,339","4,694","1,385","4,538","1,503","4,182"
,6,"1,361","4,617","1,407","4,466","1,526","4,117"
,7,"1,384","4,542","1,430","4,395","1,550","4,055"
,8,"1,406","4,469","1,452","4,327","1,573","3,994"
,9,"1,429","4,398","1,475","4,261","1,597","3,936"
,10,"1,451","4,330","1,497","4,197","1,620","3,879"
,11,"1,474","4,264","1,520","4,135","1,644","3,823"
,12,"1,496","4,200","1,542","4,075","1,667","3,769"
,13,"1,519","4,138","1,565","4,016","1,691","3,717"
,14,"1,541","4,077","1,587","3,959","1,714","3,666"
,15,"1,564","4,019","1,610","3,904","1,738","3,616"
,16,"1,586","3,962","1,632","3,850","1,761","3,568"
,17,"1,609","3,906","1,655","3,798","1,785","3,521"
,18,"1,631","3,852","1,677","3,747","1,808","3,475"
