,,,,,,
,Acceleration,,,,,
,,,,,,
,,,,,,
,"The Acceleration statistic determines how quickly the speed of the vehicle increases over time to reach the maximum speed. The higher the Acceleration, the lower the time required to reach maximum speed.

This statistic mostly affects the relative acceleration, but an higher speed statistic seems to slightly decrease the average relative acceleration. It is suspected that, like in the most recent Mario Kart iterations, there is an internal parameter that caps the absolute acceleration. Coins do NOT affect the relative acceleration.",,,,,
,,,,,,
,"⚠️ Testing and documenting properly the internal parameters of the Acceleration statistic is very hard, so they will most likely remain undocumented until the game is datamined.",,,,,
,,,,,,
,,,,,,
,Acceleration,,,,,
,Lv.,Time saved per level,,Recovery time,,Charge Jump benefit
,,Natural,Charge Jump,Natural,Charge Jump,
,0,,,"2,700","2,350","0,350"
,1,"0,127","0,091","2,573","2,259","0,313"
,2,"0,127","0,090","2,446","2,170","0,276"
,3,"0,126","0,089","2,320","2,081","0,239"
,4,"0,125","0,088","2,195","1,993","0,202"
,5,"0,124","0,087","2,071","1,906","0,165"
,6,"0,123","0,085","1,948","1,821","0,127"
,7,"0,122","0,084","1,826","1,737","0,089"
,8,"0,121","0,082","1,705","1,654","0,050"
,9,"0,120","0,080","1,585","1,574","0,011"
,10,"0,118",,"1,467","1,467",
,11,"0,117",,"1,350",,
,12,"0,115",,"1,235",,
,13,"0,112",,"1,123",,
,14,"0,109",,"1,014",,
,15,"0,104",,"0,910",,
,16,"0,093",,"0,817",,
